from,to,air
London,Manchester,8
London,Edinburgh,33
London,Glasgow,23
London,Birmingham,0
London,Bristol,0
London,Leeds,0
London,Liverpool,0
London,Newcastle,0
London,Cardiff,0
Manchester,Edinburgh,0
Manchester,Glasgow,0
Manchester,Birmingham,0
Manchester,Bristol,0
Manchester,Leeds,0
Manchester,Liverpool,0
Manchester,Newcastle,0
Manchester,Cardiff,0
Edinburgh,Glasgow,0
Edinburgh,Birmingham,4
Edinburgh,Bristol,5
Edinburgh,Leeds,0
Edinburgh,Liverpool,0
Edinburgh,Newcastle,0
Edinburgh,Cardiff,0
Glasgow,Birmingham,2
Glasgow,Bristol,3
Glasgow,Leeds,0
Glasgow,Liverpool,3
Glasgow,Newcastle,0
Glasgow,Cardiff,0
Birmingham,Bristol,0
Birmingham,Leeds,0
Birmingham,Liverpool,0
Birmingham,Newcastle,1
Birmingham,Cardiff,0
Bristol,Leeds,0
Bristol,Liverpool,0
Bristol,Newcastle,2
Bristol,Cardiff,0
Leeds,Liverpool,0
Leeds,Newcastle,0
Leeds,Cardiff,0
Liverpool,Newcastle,0
Liverpool,Cardiff,0
Newcastle,Cardiff,0
Belfast,London,2
Belfast,Manchester,15
Belfast,Edinburgh,12
Belfast,Glasgow,6
Belfast,Birmingham,15
Belfast,Bristol,4
Belfast,Leeds,7
Belfast,Liverpool,6
Belfast,Newcastle,3
Belfast,Cardiff,2
Aberdeen,London,9
Aberdeen,Manchester,4
Aberdeen,Edinburgh,0
Aberdeen,Glasgow,0
Aberdeen,Birmingham,4
Aberdeen,Bristol,2
Aberdeen,Leeds,0
Aberdeen,Liverpool,0
Aberdeen,Newcastle,0
Exeter,London,0
Exeter,Manchester,2
Exeter,Edinburgh,2
Exeter,Glasgow,0
Exeter,Birmingham,0
Exeter,Bristol,0
Exeter,Leeds,0
Exeter,Liverpool,0
Exeter,Newcastle,2
Exeter,Cardiff,0
Exeter,Belfast,0
Dundee,London,4
Dundee,Manchester,0
Dundee,Edinburgh,0
Dundee,Glasgow,0
Dundee,Birmingham,0
Dundee,Bristol,0
Dundee,Leeds,0
Dundee,Liverpool,0
Dundee,Newcastle,0
Inverness,London,5
Inverness,Manchester,2
Inverness,Edinburgh,0
Inverness,Glasgow,0
Inverness,Birmingham,0
Inverness,Bristol,1
Inverness,Leeds,0
Inverness,Liverpool,0
Inverness,Newcastle,0
Exeter,Aberdeen,0
Norwich,London,0
Norwich,Manchester,0
Norwich,Edinburgh,0
Norwich,Glasgow,0
Norwich,Birmingham,0
Norwich,Bristol,0
Norwich,Leeds,0
Norwich,Newcastle,0
Norwich,Cardiff,0
Exeter,Dundee,0
Norwich,Inverness,0
Norwich,Dundee,0
Norwich,Liverpool,0
Norwich,Belfast,0
Norwich,Aberdeen,2
Exeter,Inverness,0
Aberdeen,Belfast,2
Dundee,Belfast,0
Inverness,Belfast,2
Southampton,London,0
Southampton,Manchester,36
Southampton,Edinburgh,6
Southampton,Glasgow,1
Southampton,Birmingham,0
Southampton,Bristol,0
Southampton,Leeds,0
Southampton,Liverpool,0
Southampton,Newcastle,4
Southampton,Cardiff,0
Southampton,Belfast,7
Southampton,Aberdeen,0
Southampton,Inverness,0
Southampton,Dundee,0
Southampton,Norwich,0
Exeter,Norwich,0
Exeter,Southampton,0
Bournemout,London,0
Bournemouth ,Manchester,0
Bournemouth,Edinburgh,1
Bournemouth ,Glasgow,0
Bournemouth,Birmingham,0
Bournemouth,Bristol,0
Bournemouth,Leeds,0
Bournemouth,Liverpool,0
Bournemouth,Newcastle,0
Bournemouth,Cardiff,0
Bournemouth,Belfast,0
Bournemouth,Aberdeen,0
Bournemouth,Dundee,0
Bournemouth,Inverness,0
Bournemouth,Norwich,0
Bournemouth,Southampton,0
Bournemouth,Exeter,0
Newquay,London,1
Newquay,Manchester,3
Newquay,Edinburgh,1
Newquay,Glasgow,0
Newquay,Birmingham,0
Newquay,Bristol,0
Newquay,Leeds,0
Newquay,Liverpool,0
Newquay,Newcastle,0
Newquay,Cardiff,0
Newquay,Belfast,0
Newquay,Aberdeen,0
Newquay,Dundee,0
Newquay,Inverness,0
Newquay,Norwich,0
Newquay,Southampton,0
Newquay,Exeter,0
Newquay,Bournemouth,0
Stornoway,London,0
Stornoway,Manchester,0
Stornoway,Glasgow,3
Stornoway,Edinburgh,1
Stornoway,Birmingham,0
Stornoway,Bristol,0
Stornoway,Leeds,0
Stornoway,Liverpool,0
Stornoway,Newcastle,0
Stornoway,Cardiff,0
Stornoway,Belfast,0
Stornoway,Aberdeen,0
Stornoway,Dundee,0
Stornoway,Inverness,1
Stornoway,Norwich,0
Stornoway,Southampton,0
Stornoway,Exeter,0
Stornoway,Bournemouth,0
Stornoway,Newquay,0
Benbecula,London,0
Benbecula,Manchester,0
Benbecula,Glasgow,2
Benbecula,Birmingham,0
Benbecula,Bristol,0
Benbecula,Leeds,0
Benbecula,Newcastle,0
Benbecula,Cardiff,0
Benbecula,Belfast,0
Benbecula,Aberdeen,0
Benbecula,Dundee,0
Benbecula,Inverness,0
Benbecula,Southampton,0
Benbecula,Norwich,0
Benbecula,Exeter,0
Benbecula,Bournemouth,0
Benbecula,Newquay,0
Benbecula,Stornoway,0
Kirkwall,London,0
Kirkwall,Manchester,0
Kirkwall,Edinburgh,2
Kirkwall,Glasgow,1
Kirkwall,Birmingham,0
Kirkwall,Bristol,0
Kirkwall,Leeds,0
Kirkwall,Newcastle,0
Kirkwall,Liverpool,0
Kirkwall,Cardiff,0
Kirkwall,Belfast,0
Kirkwall,Aberdeen,3
Kirkwall,Dundee,1
Kirkwall,Inverness,1
Kirkwall,Norwich,0
Kirkwall,Southampton,0
Kirkwall,Exeter,0
Kirkwall,Bournemouth,0
Kirkwall,Newquay,0
Kirkwall,Stornoway,0
Kirkwall,Benbecula,0
Sumburgh,London,0
Sumburgh,Manchester ,0
Sumburgh,Glasgow ,1
Sumburgh,Edinburgh,2
Sumburgh,Birmingham,0
Sumburgh,Bristol,0
Sumburgh,Leeds,0
Sumburgh,Liverpool,0
Sumburgh,Newcastle,0
Sumburgh,Cardiff,0
Sumburgh,Belfast,0
Sumburgh,Aberdeen,2
Sumburgh,Dundee,0
Sumburgh,Inverness,0
Sumburgh,Norwich,0
Sumburgh,Southampton,0
Sumburgh,Exeter,0
Sumburgh,Bournemouth,0
Sumburgh,Newquay,0
Sumburgh,Stornoway,0
Sumburgh,Kirkwall,2
Sumburgh,Benbecula,0
